Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
4052666716,2021-07-07 02:19:09,2021-07-06 16:40:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
7863221817,2021-07-07 02:18:32,2021-07-06 18:05:00,Doral,Florida,305,Dropped call or no message,N
5615281539,2021-07-07 02:17:42,2021-07-06 17:40:00,West Palm Beach,Florida,561,Other,N
3305259178,2021-07-07 03:00:21,2021-07-06 19:11:00,New  Springfield,Ohio,330,"Calls pretending to be government, businesses, or family and friends",Y
2342194282,2021-07-07 03:01:37,2021-07-06 09:22:00,New  Springfield,Ohio,330,"Calls pretending to be government, businesses, or family and friends",Y
2342194270,2021-07-07 03:02:25,2021-07-05 16:28:00,New  Springfield,Ohio,330,"Calls pretending to be government, businesses, or family and friends",Y
6572422773,2021-07-07 03:02:58,2021-07-05 11:16:00,San Francisco,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
3302272320,2021-07-07 03:03:11,2021-07-05 11:55:00,New  Springfield,Ohio,330,"Calls pretending to be government, businesses, or family and friends",Y
5012601088,2021-07-07 03:03:46,2021-07-06 07:15:00,Tucson,Arizona,520,No Subject Provided,
7252182590,2021-07-07 03:04:14,2021-07-05 11:05:00,San Francisco,California,415,No Subject Provided,Y
2628067026,2021-07-07 03:05:37,2021-07-02 17:16:00,San Francisco,California,415,No Subject Provided,Y
5593381046,2021-07-07 03:06:38,2021-07-05 13:13:00,Tucson,Arizona,520,No Subject Provided,
6142120641,2021-07-07 03:14:55,2021-07-06 14:14:00,,Ohio,614,No Subject Provided,N
9125722087,2021-07-07 03:15:26,2021-07-06 22:52:00,Las Vegas,Nevada,702,Dropped call or no message,N
6142358887,2021-07-07 03:16:50,2021-07-06 14:24:00,,Ohio,614,No Subject Provided,N
7863969264,2021-07-07 03:16:23,2021-07-06 16:55:00,,Michigan,906,"Calls pretending to be government, businesses, or family and friends",Y
2568593027,2021-07-07 03:19:06,2021-07-06 14:41:00,,Ohio,614,No Subject Provided,N
2706877214,2021-07-07 03:18:19,2021-07-01 09:19:00,Providence,Kentucky,270,No Subject Provided,
8188627472,2021-07-07 03:19:05,2021-07-06 08:00:00,,California,818,"Calls pretending to be government, businesses, or family and friends",Y
4153290477,2021-07-07 03:19:10,2021-07-01 15:32:00,Providence,Kentucky,270,No Subject Provided,
6142351717,2021-07-07 03:20:59,2021-07-06 10:46:00,,Ohio,614,No Subject Provided,N
2705516460,2021-07-07 03:20:22,2021-07-06 11:06:00,Providence,Kentucky,270,No Subject Provided,
8127724130,2021-07-07 03:20:32,2021-07-06 06:00:00,,California,818,"Calls pretending to be government, businesses, or family and friends",Y
2703761883,2021-07-07 03:21:04,2021-07-06 12:34:00,Providence,Kentucky,270,No Subject Provided,
5104348703,2021-07-07 03:21:39,2021-07-06 13:16:00,Hayward,California,510,"Energy, solar,  & utilities",Y
2032939255,2021-07-07 03:23:01,2021-07-06 12:25:00,Richland,Washington,509,Other,N
7082315773,2021-07-07 03:45:26,2021-07-06 16:16:00,,Illinois,708,No Subject Provided,
3215221316,2021-07-07 04:17:19,2021-07-07 03:42:00,Wabash,Indiana,765,Other,Y
9094473786,2021-07-07 04:23:34,2021-07-06 10:43:00,,California,949,Warranties  & protection plans,Y
9285158845,2021-07-07 04:35:16,2021-07-06 09:32:00,,Arizona,928,No Subject Provided,
2245300803,2021-07-07 04:42:24,2021-07-02 14:55:00,COLUMBUS,Georgia,706,Other,Y
7076903353,2021-07-07 04:43:43,2021-07-06 11:16:00,COLUMBUS,Georgia,706,Other,Y
4695914500,2021-07-07 04:44:18,2021-07-03 14:33:00,,Texas,972,Other,Y
4052899140,2021-07-07 04:44:48,2021-07-06 11:41:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
9728161801,2021-07-07 04:45:08,2021-07-03 11:46:00,,Texas,972,Other,Y
6262805577,2021-07-07 04:45:49,2021-07-02 13:48:00,,Texas,972,Other,Y
6267091558,2021-07-07 04:46:29,2021-07-01 14:29:00,,Texas,972,Other,Y
6264123216,2021-07-07 04:46:54,2021-07-06 08:46:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
9134900143,2021-07-07 04:46:56,2021-07-06 18:09:00,,Kansas,913,No Subject Provided,Y
5404032680,2021-07-07 04:47:08,2021-07-01 14:26:00,,Texas,972,Other,Y
9855701117,2021-07-07 04:47:39,2021-07-05 18:26:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
2129711318,2021-07-07 04:47:53,2021-06-30 15:06:00,,Texas,972,Other,Y
9187153194,2021-07-07 04:48:26,2021-07-05 13:34:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
2127244252,2021-07-07 04:48:30,2021-06-30 12:19:00,,Texas,972,Other,Y
4079725106,2021-07-07 04:48:56,2021-07-07 12:00:00,,Colorado,303,"Calls pretending to be government, businesses, or family and friends",N
4057946056,2021-07-07 04:49:08,2021-07-05 11:15:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
4068838400,2021-07-07 04:49:14,2021-06-30 11:38:00,,Texas,972,Other,Y
5593381031,2021-07-07 04:49:51,2021-07-03 16:50:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
